[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.019093s ]
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.019229s ]
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000815s ]
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000904s ]
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-15T09:30:08+08:00 ] /t050/index.php/Public/login | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.106784s ]
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | SQL: SELECT `str21` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000364s ]
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.022847s ]
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.022937s ]
[ 2016-06-15T09:30:09+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.146475s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.146545s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.019628s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.007026s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.014269s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.016350s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.057449s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.008514s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.008559s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000521s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000571s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000333s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000367s ]
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-15T09:30:10+08:00 ] /t050/index.php/Public/verify/ | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000394s ]
[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000458s ]
[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
