[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.014853s ]
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.014929s ]
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000401s ]
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000443s ]
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-16T09:24:01+08:00 ] /T050/index.php/Public/login | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.122839s ]
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | SQL: SELECT `str21` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000282s ]
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.049796s ]
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.049858s ]
[ 2016-06-16T09:24:02+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.204039s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.204099s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.016970s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.018103s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.013091s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.017409s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.065722s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.018603s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.018650s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000515s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000625s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000290s ]
[ 2016-06-16T09:24:03+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000326s ]
