[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001013s ]
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001120s ]
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000635s ]
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000713s ]
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-14T15:56:07+08:00 ] /T050/index.php/Public/login | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.025509s ]
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | SQL: SELECT `str21` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000540s ]
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001773s ]
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001904s ]
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.068119s ]
[ 2016-06-14T15:56:08+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068232s ]
