[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Tag[ route_check ] --START--
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000461s ]
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000511s ]
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000285s ]
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000319s ]
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-16T16:36:54+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.031914s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '11689' ) AND ( `user_id` = 'new' ) LIMIT 1   [ RunTime:0.000678s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.016645s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000389s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/codys/Urlsz/1 | NOTIC: [8] Undefined index: Urlsz BonusAction.class.php 第 35 行.
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Tag[ route_check ] --START--
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Run CheckRoute Behavior [ RunTime:0.000927s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Tag[ route_check ] --END-- [ RunTime:0.001031s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000384s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000420s ]
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-16T16:36:55+08:00 ] /T050/index.php/Bonus/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.016348s ]
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '11689' ) AND ( `user_id` = 'new' ) LIMIT 1   [ RunTime:0.000376s ]
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.014563s ]
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000406s ]
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.008528s ]
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | NOTIC: [8] Undefined index: UserID BonusAction.class.php 第 85 行.
[ 2016-06-16T16:36:56+08:00 ] /T050/index.php/Bonus/financeTable | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_bonus` WHERE ( `uid` = '11689' ) LIMIT 1   [ RunTime:0.000337s ]
